role,name,team
student,Alolononon,CS2103T-T11-3
student,chinpcbenjamin,CS2103T-T11-3
student,hengjeekuan,CS2103T-T11-3
student,blacksesamezongzi,CS2103T-T11-3
student,ki1r0,CS2103T-T11-4
student,TanJieHaoAmos,CS2103T-T11-4
student,wei-song1,CS2103T-T11-4
student,RickyHFR,CS2103T-T11-4
student,hyizhak,CS2103T-T11-4
student,zwliew,CS2103T-T12-1
student,dexterkwxn,CS2103T-T12-1
student,avinazz3,CS2103T-T12-1
student,weien02,CS2103T-T12-1
student,lyhthaddeus,CS2103T-T12-1
student,nja99,CS2103T-T12-2
student,Siyan-G,CS2103T-T12-2
student,coffeemocha,CS2103T-T12-2
student,yuqing-tham,CS2103T-T12-2
student,jniaorx,CS2103T-T12-2
student,kumar2215,CS2103T-T12-3
student,githubcsuser,CS2103T-T12-3
student,ryanlow64,CS2103T-T12-3
student,chenxu20,CS2103T-T12-3
student,mjyan02,CS2103T-T12-3
student,moingshoing,CS2103T-T12-4
student,Engulfy,CS2103T-T12-4
student,patil-np,CS2103T-T12-4
student,popova-mariia,CS2103T-T12-4
student,niha81,CS2103T-T12-4
student,vikeedough,CS2103T-T13-1
student,deseansoh,CS2103T-T13-1
student,CloudKai,CS2103T-T13-1
student,AnWe11,CS2103T-T13-1
student,wzhua02,CS2103T-T13-1
student,chanjunlin,CS2103T-T13-2
student,Shanyey,CS2103T-T13-2
student,panomia01,CS2103T-T13-2
student,jon-seana,CS2103T-T13-2
student,charlenelau-20,CS2103T-T13-2
student,Windofbitter,CS2103T-T13-3
student,TiewJiaLiang,CS2103T-T13-3
student,Xavierlhm,CS2103T-T13-3
student,xa0412,CS2103T-T13-3
student,zuoshihua,CS2103T-T13-3
student,nicholasohjj,CS2103T-T13-4
student,Charlesl12,CS2103T-T13-4
student,andong0909,CS2103T-T13-4
student,jiangsuwangjing,CS2103T-T13-4
student,GZTan23,CS2103T-T13-4
student,Benjam11n,CS2103T-T14-1
student,nictjh,CS2103T-T14-1
student,adoubleb,CS2103T-T14-1
student,YashvanGH,CS2103T-T14-1
student,qilstiano,CS2103T-T14-1
student,wenruu,CS2103T-T14-2
student,alexandtheoh,CS2103T-T14-2
student,zechary28,CS2103T-T14-2
student,angjozee,CS2103T-T14-2
student,nanditaselvaraju,CS2103T-T14-2
student,HAITAO2003,CS2103T-T14-3
student,laishuya,CS2103T-T14-3
student,xinnnyeee,CS2103T-T14-3
student,simenggg,CS2103T-T14-3
student,TasmiaH0508,CS2103T-T14-3
student,xumarcus,CS2103T-T14-4
student,Bill-1,CS2103T-T14-4
student,xk1234,CS2103T-T14-4
student,BladerX11,CS2103T-T14-4
student,Junixm,CS2103T-T15-1
student,zihung20,CS2103T-T15-1
student,CXl0l0,CS2103T-T15-1
student,CoreySiah,CS2103T-T15-1
student,farhan-navas,CS2103T-T15-2
student,sreelakshmiharidos,CS2103T-T15-2
student,ypuppy,CS2103T-T15-2
student,heyitssakinah,CS2103T-T15-2
